,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Company,Company,Company,Company,Company,Company,Company,Company,Company,Company,Company,Company,Country,Country,Country,Spoken_lang,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Descriptive,Numerical,Numerical,Numerical,Numerical,Numerical,Release_year,Release_month,Release_month,Release_month,Release_month,Release_month,Release_month,Release_month,Release_month,Release_month,Release_month,Release_month,Release_month,Numerical,Numerical,Company,Company,Company,Company,Release_year,Release_year,Release_year,Release_year,Release_year,Numerical,Country,Country,Country,Country,Country,Country,Country
,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western,Columbia Pictures,Columbia Pictures Corporation,Metro-Goldwyn-Mayer (MGM),New Line Cinema,Paramount Pictures,Relativity Media,Touchstone Pictures,Twentieth Century Fox Film Corporation,Universal Pictures,Village Roadshow Pictures,Walt Disney Pictures,Warner Bros.,No Country,United Kingdom,United States of America,English,3d,aftercreditsstinger,based on novel,biography,duringcreditsstinger,dystopia,friendship,murder,new york,revenge,sequel,violence,woman director,Collection,budget,runtime,revenue,Overview_length,Tag_length,No Year,1,2,3,4,5,6,7,8,9,10,11,12,Num_keywords,Num_companies,Company_quartile_1st,Company_quartile_2nd,Company_quartile_3rd,Company_quartile_4th,70s,80s,90s,00s,10s,Num_production_countries,Europe,Oceania,Asia,Middle_East,Latin_America,North_America,Africa
0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40000000.0,113.0,134734481.0,393.0,60.0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3300000.0,105.0,48982041.0,130.0,47.0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,3,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000000.0,83.0,3418605.0,150.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14000000.0,92.0,85446075.0,208.0,36.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0
4,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35000000.0,100.0,4259710.0,397.0,27.0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000000.0,119.0,225000000.0,320.0,41.0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000000.0,122.0,226200000.0,175.0,12.0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,2,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53000000.0,118.0,95226116.0,134.0,40.0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,4,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26000000.0,85.0,37685971.0,551.0,18.0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,3,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
